Fold,Accuracy,Precision,Recall,F1
01,94.28571428571428,0.9238095238095239,0.9642857142857142,0.936357362444319
02,100.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
03,97.05882352941177,0.9523809523809524,0.9821428571428571,0.9619047619047619
04,90.625,0.9047619047619048,0.9166666666666666,0.9053803339517624
05,87.87878787878788,0.6666666666666666,0.634920634920635,0.6488095238095237
06,87.09677419354838,0.6938775510204082,0.7236394557823129,0.6999381570810143
07,82.35294117647058,0.75,0.6768707482993197,0.7031539888682746
08,90.9090909090909,0.7857142857142857,0.7499999999999999,0.7594619666048237
09,93.75,0.6571428571428571,0.6571428571428571,0.6468253968253969
10,100.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
